temp,rain_1h,snow_1h,clouds_all,date_time,traffic_volume,hour,day_of_week,is_weekend,is_holiday,is_peak_hour,hour_sin,hour_cos,weather_main_grouped,congestion_level
282.48,0.0,0.0,1,2012-10-03 09:00:00,5471,9,Wednesday,0,0,0,0.7071067811865476,-0.7071067811865475,Clear,Very High
291.97,0.0,0.0,1,2012-10-03 12:00:00,5097,12,Wednesday,0,0,0,1.2246467991473532e-16,-1.0,Clear,Very High
293.23,0.0,0.0,1,2012-10-03 13:00:00,4887,13,Wednesday,0,0,0,-0.2588190451025208,-0.9659258262890683,Clear,High
294.31,0.0,0.0,1,2012-10-03 14:00:00,5337,14,Wednesday,0,0,1,-0.4999999999999997,-0.8660254037844388,Clear,Very High
295.17,0.0,0.0,1,2012-10-03 15:00:00,5692,15,Wednesday,0,0,1,-0.7071067811865471,-0.7071067811865479,Clear,Very High
295.13,0.0,0.0,1,2012-10-03 16:00:00,6137,16,Wednesday,0,0,1,-0.8660254037844385,-0.5000000000000004,Clear,Very High
293.66,0.0,0.0,20,2012-10-03 18:00:00,4623,18,Wednesday,0,0,0,-1.0,-1.8369701987210297e-16,Clouds,High
290.65,0.0,0.0,20,2012-10-03 19:00:00,3591,19,Wednesday,0,0,0,-0.9659258262890684,0.2588190451025203,Clouds,High
288.19,0.0,0.0,20,2012-10-03 20:00:00,2898,20,Wednesday,0,0,0,-0.8660254037844386,0.5000000000000001,Clouds,Medium
287.1,0.0,0.0,1,2012-10-03 21:00:00,2637,21,Wednesday,0,0,0,-0.7071067811865477,0.7071067811865474,Clear,Medium
286.25,0.0,0.0,1,2012-10-03 22:00:00,1777,22,Wednesday,0,0,0,-0.5000000000000004,0.8660254037844384,Clear,Medium
285.26,0.0,0.0,1,2012-10-03 23:00:00,1015,23,Wednesday,0,0,0,-0.25881904510252157,0.9659258262890681,Clear,Low
284.55,0.0,0.0,1,2012-10-04 00:00:00,598,0,Thursday,0,0,0,0.0,1.0,Clear,Low
283.47,0.0,0.0,1,2012-10-04 01:00:00,369,1,Thursday,0,0,0,0.25881904510252074,0.9659258262890683,Clear,Low
283.17,0.0,0.0,1,2012-10-04 02:00:00,312,2,Thursday,0,0,0,0.49999999999999994,0.8660254037844387,Clear,Low
282.04,0.0,0.0,1,2012-10-04 03:00:00,367,3,Thursday,0,0,0,0.7071067811865476,0.7071067811865476,Clear,Low
281.69,0.0,0.0,1,2012-10-04 04:00:00,835,4,Thursday,0,0,0,0.8660254037844386,0.5000000000000001,Clear,Low
281.32,0.0,0.0,1,2012-10-04 05:00:00,2726,5,Thursday,0,0,0,0.9659258262890683,0.25881904510252074,Clear,Medium
280.74,0.0,0.0,1,2012-10-04 06:00:00,5689,6,Thursday,0,0,1,1.0,6.123233995736766e-17,Clear,Very High
280.57,0.0,0.0,1,2012-10-04 07:00:00,6990,7,Thursday,0,0,1,0.9659258262890683,-0.25881904510252063,Clear,Very High
281.86,0.0,0.0,1,2012-10-04 08:00:00,5985,8,Thursday,0,0,1,0.8660254037844387,-0.4999999999999998,Clear,Very High
284.98,0.0,0.0,1,2012-10-04 09:00:00,5309,9,Thursday,0,0,0,0.7071067811865476,-0.7071067811865475,Clear,Very High
289.18,0.0,0.0,1,2012-10-04 10:00:00,4603,10,Thursday,0,0,0,0.49999999999999994,-0.8660254037844387,Clear,High
291.55,0.0,0.0,1,2012-10-04 11:00:00,4884,11,Thursday,0,0,0,0.258819045102521,-0.9659258262890682,Clear,High
294.97,0.0,0.0,1,2012-10-04 12:00:00,5104,12,Thursday,0,0,0,1.2246467991473532e-16,-1.0,Clear,Very High
296.38,0.0,0.0,1,2012-10-04 13:00:00,5178,13,Thursday,0,0,0,-0.2588190451025208,-0.9659258262890683,Clear,Very High
297.32,0.0,0.0,1,2012-10-04 14:00:00,5501,14,Thursday,0,0,1,-0.4999999999999997,-0.8660254037844388,Clear,Very High
298.17,0.0,0.0,1,2012-10-04 15:00:00,5713,15,Thursday,0,0,1,-0.7071067811865471,-0.7071067811865479,Clear,Very High
298.06,0.0,0.0,20,2012-10-04 16:00:00,6292,16,Thursday,0,0,1,-0.8660254037844385,-0.5000000000000004,Clouds,Very High
297.67,0.0,0.0,20,2012-10-04 17:00:00,6057,17,Thursday,0,0,1,-0.9659258262890683,-0.25881904510252063,Clouds,Very High
296.36,0.0,0.0,40,2012-10-04 18:00:00,4907,18,Thursday,0,0,0,-1.0,-1.8369701987210297e-16,Clouds,High
293.85,0.0,0.0,40,2012-10-04 19:00:00,3503,19,Thursday,0,0,0,-0.9659258262890684,0.2588190451025203,Clouds,High
292.43,0.0,0.0,40,2012-10-04 20:00:00,3037,20,Thursday,0,0,0,-0.8660254037844386,0.5000000000000001,Clouds,Medium
291.77,0.0,0.0,75,2012-10-04 21:00:00,2822,21,Thursday,0,0,0,-0.7071067811865477,0.7071067811865474,Clouds,Medium
291.36,0.0,0.0,75,2012-10-04 22:00:00,1992,22,Thursday,0,0,0,-0.5000000000000004,0.8660254037844384,Clouds,Medium
291.12,0.0,0.0,75,2012-10-04 23:00:00,1166,23,Thursday,0,0,0,-0.25881904510252157,0.9659258262890681,Clouds,Low
290.63,0.0,0.0,75,2012-10-05 00:00:00,627,0,Friday,0,0,0,0.0,1.0,Clouds,Low
290.46,0.0,0.0,40,2012-10-05 01:00:00,388,1,Friday,0,0,0,0.25881904510252074,0.9659258262890683,Clouds,Low
289.26,0.0,0.0,0,2012-10-05 03:00:00,368,3,Friday,0,0,0,0.7071067811865476,0.7071067811865476,Clear,Low
283.21,0.0,0.0,75,2012-10-05 05:00:00,2489,5,Friday,0,0,0,0.9659258262890683,0.25881904510252074,Clouds,Medium
282.24,0.0,0.0,90,2012-10-05 06:00:00,5537,6,Friday,0,0,1,1.0,6.123233995736766e-17,Clouds,Very High
281.69,0.0,0.0,90,2012-10-05 07:00:00,6628,7,Friday,0,0,1,0.9659258262890683,-0.25881904510252063,Clouds,Very High
280.57,0.0,0.0,90,2012-10-05 08:00:00,5534,8,Friday,0,0,1,0.8660254037844387,-0.4999999999999998,Clouds,Very High
280.02,0.0,0.0,75,2012-10-05 09:00:00,5403,9,Friday,0,0,0,0.7071067811865476,-0.7071067811865475,Clouds,Very High
280.11,0.0,0.0,75,2012-10-05 10:00:00,4770,10,Friday,0,0,0,0.49999999999999994,-0.8660254037844387,Clouds,High
280.0,0.0,0.0,90,2012-10-05 11:00:00,5217,11,Friday,0,0,0,0.258819045102521,-0.9659258262890682,Clouds,Very High
280.53,0.0,0.0,90,2012-10-05 12:00:00,5870,12,Friday,0,0,0,1.2246467991473532e-16,-1.0,Clouds,Very High
281.43,0.0,0.0,75,2012-10-05 13:00:00,5967,13,Friday,0,0,0,-0.2588190451025208,-0.9659258262890683,Clouds,Very High
281.78,0.0,0.0,90,2012-10-05 14:00:00,6108,14,Friday,0,0,1,-0.4999999999999997,-0.8660254037844388,Clouds,Very High
281.91,0.0,0.0,90,2012-10-05 15:00:00,6128,15,Friday,0,0,1,-0.7071067811865471,-0.7071067811865479,Clouds,Very High
281.73,0.0,0.0,90,2012-10-05 16:00:00,6069,16,Friday,0,0,1,-0.8660254037844385,-0.5000000000000004,Clouds,Very High
281.42,0.0,0.0,90,2012-10-05 17:00:00,6169,17,Friday,0,0,1,-0.9659258262890683,-0.25881904510252063,Clouds,Very High
280.87,0.0,0.0,90,2012-10-05 18:00:00,5384,18,Friday,0,0,0,-1.0,-1.8369701987210297e-16,Clouds,Very High
280.15,0.0,0.0,90,2012-10-05 19:00:00,4063,19,Friday,0,0,0,-0.9659258262890684,0.2588190451025203,Clouds,High
279.78,0.0,0.0,90,2012-10-05 20:00:00,3364,20,Friday,0,0,0,-0.8660254037844386,0.5000000000000001,Clouds,Medium
279.65,0.0,0.0,75,2012-10-05 21:00:00,2971,21,Friday,0,0,0,-0.7071067811865477,0.7071067811865474,Clouds,Medium
279.22,0.0,0.0,40,2012-10-05 22:00:00,2450,22,Friday,0,0,0,-0.5000000000000004,0.8660254037844384,Clouds,Medium
279.06,0.0,0.0,40,2012-10-05 23:00:00,1832,23,Friday,0,0,0,-0.25881904510252157,0.9659258262890681,Clouds,Medium
278.81,0.0,0.0,90,2012-10-06 00:00:00,1231,0,Saturday,1,0,0,0.0,1.0,Clouds,Low
278.55,0.0,0.0,90,2012-10-06 01:00:00,718,1,Saturday,1,0,0,0.25881904510252074,0.9659258262890683,Clouds,Low
278.59,0.0,0.0,90,2012-10-06 02:00:00,545,2,Saturday,1,0,0,0.49999999999999994,0.8660254037844387,Clouds,Low
276.99,0.0,0.0,75,2012-10-06 04:00:00,411,4,Saturday,1,0,0,0.8660254037844386,0.5000000000000001,Clouds,Low
276.35,0.0,0.0,20,2012-10-06 05:00:00,688,5,Saturday,1,0,0,0.9659258262890683,0.25881904510252074,Clouds,Low
275.4,0.0,0.0,1,2012-10-06 06:00:00,1352,6,Saturday,1,0,0,1.0,6.123233995736766e-17,Clear,Medium
275.17,0.0,0.0,1,2012-10-06 07:00:00,2072,7,Saturday,1,0,0,0.9659258262890683,-0.25881904510252063,Clear,Medium
274.99,0.0,0.0,1,2012-10-06 08:00:00,3342,8,Saturday,1,0,0,0.8660254037844387,-0.4999999999999998,Clear,Medium
275.09,0.0,0.0,40,2012-10-06 09:00:00,4258,9,Saturday,1,0,0,0.7071067811865476,-0.7071067811865475,Clouds,High
276.88,0.0,0.0,20,2012-10-06 10:00:00,4861,10,Saturday,1,0,0,0.49999999999999994,-0.8660254037844387,Clouds,High
278.04,0.0,0.0,20,2012-10-06 11:00:00,5191,11,Saturday,1,0,0,0.258819045102521,-0.9659258262890682,Clouds,Very High
279.08,0.0,0.0,40,2012-10-06 12:00:00,5669,12,Saturday,1,0,0,1.2246467991473532e-16,-1.0,Clouds,Very High
280.12,0.0,0.0,75,2012-10-06 13:00:00,5074,13,Saturday,1,0,0,-0.2588190451025208,-0.9659258262890683,Clouds,Very High
280.25,0.0,0.0,75,2012-10-06 14:00:00,5025,14,Saturday,1,0,0,-0.4999999999999997,-0.8660254037844388,Clouds,Very High
280.0,0.0,0.0,75,2012-10-06 15:00:00,5153,15,Saturday,1,0,0,-0.7071067811865471,-0.7071067811865479,Clouds,Very High
279.06,0.0,0.0,90,2012-10-06 16:00:00,5024,16,Saturday,1,0,0,-0.8660254037844385,-0.5000000000000004,Clouds,Very High
278.91,0.0,0.0,90,2012-10-06 17:00:00,4779,17,Saturday,1,0,0,-0.9659258262890683,-0.25881904510252063,Clouds,High
278.39,0.0,0.0,90,2012-10-06 18:00:00,4362,18,Saturday,1,0,0,-1.0,-1.8369701987210297e-16,Clouds,High
278.16,0.0,0.0,90,2012-10-06 19:00:00,3860,19,Saturday,1,0,0,-0.9659258262890684,0.2588190451025203,Clouds,High
278.16,0.0,0.0,90,2012-10-06 20:00:00,3160,20,Saturday,1,0,0,-0.8660254037844386,0.5000000000000001,Clouds,Medium
277.93,0.0,0.0,90,2012-10-06 21:00:00,2992,21,Saturday,1,0,0,-0.7071067811865477,0.7071067811865474,Clouds,Medium
276.9,0.0,0.0,90,2012-10-06 22:00:00,3202,22,Saturday,1,0,0,-0.5000000000000004,0.8660254037844384,Clouds,Medium
276.34,0.0,0.0,75,2012-10-06 23:00:00,1941,23,Saturday,1,0,0,-0.25881904510252157,0.9659258262890681,Clouds,Medium
276.11,0.0,0.0,75,2012-10-07 00:00:00,1233,0,Sunday,1,0,0,0.0,1.0,Clouds,Low
275.73,0.0,0.0,90,2012-10-07 03:00:00,323,3,Sunday,1,0,0,0.7071067811865476,0.7071067811865476,Clouds,Low
275.65,0.0,0.0,90,2012-10-07 04:00:00,312,4,Sunday,1,0,0,0.8660254037844386,0.5000000000000001,Clouds,Low
275.51,0.0,0.0,75,2012-10-07 05:00:00,627,5,Sunday,1,0,0,0.9659258262890683,0.25881904510252074,Clouds,Low
275.05,0.0,0.0,90,2012-10-07 06:00:00,1508,6,Sunday,1,0,0,1.0,6.123233995736766e-17,Clouds,Medium
274.77,0.0,0.0,90,2012-10-07 07:00:00,1539,7,Sunday,1,0,0,0.9659258262890683,-0.25881904510252063,Clouds,Medium
274.77,0.0,0.0,75,2012-10-07 08:00:00,2232,8,Sunday,1,0,0,0.8660254037844387,-0.4999999999999998,Clouds,Medium
275.55,0.0,0.0,75,2012-10-07 09:00:00,4568,9,Sunday,1,0,0,0.7071067811865476,-0.7071067811865475,Clouds,High
276.24,0.0,0.0,75,2012-10-07 10:00:00,4624,10,Sunday,1,0,0,0.49999999999999994,-0.8660254037844387,Clouds,High
277.01,0.0,0.0,90,2012-10-07 11:00:00,4529,11,Sunday,1,0,0,0.258819045102521,-0.9659258262890682,Clouds,High
277.43,0.0,0.0,90,2012-10-07 12:00:00,5139,12,Sunday,1,0,0,1.2246467991473532e-16,-1.0,Clouds,Very High
278.45,0.0,0.0,90,2012-10-07 13:00:00,6640,13,Sunday,1,0,0,-0.2588190451025208,-0.9659258262890683,Clouds,Very High
279.27,0.0,0.0,90,2012-10-07 14:00:00,6589,14,Sunday,1,0,0,-0.4999999999999997,-0.8660254037844388,Clouds,Very High
279.27,0.0,0.0,90,2012-10-07 15:00:00,4429,15,Sunday,1,0,0,-0.7071067811865471,-0.7071067811865479,Clouds,High
279.44,0.0,0.0,90,2012-10-07 16:00:00,4329,16,Sunday,1,0,0,-0.8660254037844385,-0.5000000000000004,Clouds,High
279.32,0.0,0.0,90,2012-10-07 17:00:00,3833,17,Sunday,1,0,0,-0.9659258262890683,-0.25881904510252063,Clouds,High
279.27,0.0,0.0,90,2012-10-07 18:00:00,4015,18,Sunday,1,0,0,-1.0,-1.8369701987210297e-16,Clouds,High
278.11,0.0,0.0,90,2012-10-07 19:00:00,3382,19,Sunday,1,0,0,-0.9659258262890684,0.2588190451025203,Clouds,Medium
276.79,0.0,0.0,75,2012-10-07 20:00:00,2815,20,Sunday,1,0,0,-0.8660254037844386,0.5000000000000001,Clouds,Medium
275.73,0.0,0.0,90,2012-10-07 21:00:00,2110,21,Sunday,1,0,0,-0.7071067811865477,0.7071067811865474,Clouds,Medium
274.88,0.0,0.0,75,2012-10-07 22:00:00,1555,22,Sunday,1,0,0,-0.5000000000000004,0.8660254037844384,Clouds,Medium
273.92,0.0,0.0,20,2012-10-07 23:00:00,959,23,Sunday,1,0,0,-0.25881904510252157,0.9659258262890681,Clouds,Low
273.08,0.0,0.0,20,2012-10-08 00:00:00,455,0,Monday,0,1,0,0.0,1.0,Clouds,Low
272.62,0.0,0.0,20,2012-10-08 01:00:00,336,1,Monday,0,0,0,0.25881904510252074,0.9659258262890683,Clouds,Low
271.78,0.0,0.0,1,2012-10-08 02:00:00,265,2,Monday,0,0,0,0.49999999999999994,0.8660254037844387,Clear,Low
271.05,0.0,0.0,1,2012-10-08 03:00:00,314,3,Monday,0,0,0,0.7071067811865476,0.7071067811865476,Clear,Low
270.63,0.0,0.0,1,2012-10-08 04:00:00,779,4,Monday,0,0,0,0.8660254037844386,0.5000000000000001,Clear,Low
270.33,0.0,0.0,1,2012-10-08 05:00:00,2571,5,Monday,0,0,0,0.9659258262890683,0.25881904510252074,Clear,Medium
269.61,0.0,0.0,20,2012-10-08 06:00:00,5563,6,Monday,0,0,1,1.0,6.123233995736766e-17,Clouds,Very High
270.01,0.0,0.0,20,2012-10-08 07:00:00,6676,7,Monday,0,0,1,0.9659258262890683,-0.25881904510252063,Clouds,Very High
271.23,0.0,0.0,20,2012-10-08 08:00:00,5966,8,Monday,0,0,1,0.8660254037844387,-0.4999999999999998,Clouds,Very High
273.71,0.0,0.0,20,2012-10-08 09:00:00,4832,9,Monday,0,0,0,0.7071067811865476,-0.7071067811865475,Clouds,High
276.77,0.0,0.0,20,2012-10-08 10:00:00,4395,10,Monday,0,0,0,0.49999999999999994,-0.8660254037844387,Clouds,High
279.47,0.0,0.0,20,2012-10-08 11:00:00,4411,11,Monday,0,0,0,0.258819045102521,-0.9659258262890682,Clouds,High
279.84,0.0,0.0,1,2012-10-08 12:00:00,4648,12,Monday,0,0,0,1.2246467991473532e-16,-1.0,Clear,High
282.34,0.0,0.0,40,2012-10-08 13:00:00,4602,13,Monday,0,0,0,-0.2588190451025208,-0.9659258262890683,Clouds,High
282.94,0.0,0.0,40,2012-10-08 14:00:00,5125,14,Monday,0,0,1,-0.4999999999999997,-0.8660254037844388,Clouds,Very High
283.48,0.0,0.0,1,2012-10-08 15:00:00,5502,15,Monday,0,0,1,-0.7071067811865471,-0.7071067811865479,Clear,Very High
284.33,0.0,0.0,1,2012-10-08 16:00:00,5979,16,Monday,0,0,1,-0.8660254037844385,-0.5000000000000004,Clear,Very High
284.48,0.0,0.0,40,2012-10-08 17:00:00,5663,17,Monday,0,0,1,-0.9659258262890683,-0.25881904510252063,Clouds,Very High
284.23,0.0,0.0,40,2012-10-08 18:00:00,4259,18,Monday,0,0,0,-1.0,-1.8369701987210297e-16,Clouds,High
281.99,0.0,0.0,20,2012-10-08 19:00:00,3069,19,Monday,0,0,0,-0.9659258262890684,0.2588190451025203,Clouds,Medium
279.81,0.0,0.0,1,2012-10-08 20:00:00,2378,20,Monday,0,0,0,-0.8660254037844386,0.5000000000000001,Clear,Medium
279.35,0.0,0.0,1,2012-10-08 21:00:00,2030,21,Monday,0,0,0,-0.7071067811865477,0.7071067811865474,Clear,Medium
278.9,0.0,0.0,1,2012-10-08 22:00:00,1400,22,Monday,0,0,0,-0.5000000000000004,0.8660254037844384,Clear,Medium
278.46,0.0,0.0,1,2012-10-08 23:00:00,917,23,Monday,0,0,0,-0.25881904510252157,0.9659258262890681,Clear,Low
277.78,0.0,0.0,1,2012-10-09 00:00:00,515,0,Tuesday,0,0,0,0.0,1.0,Clear,Low
277.27,0.0,0.0,1,2012-10-09 01:00:00,302,1,Tuesday,0,0,0,0.25881904510252074,0.9659258262890683,Clear,Low
277.47,0.0,0.0,1,2012-10-09 02:00:00,251,2,Tuesday,0,0,0,0.49999999999999994,0.8660254037844387,Clear,Low
276.97,0.0,0.0,20,2012-10-09 04:00:00,798,4,Tuesday,0,0,0,0.8660254037844386,0.5000000000000001,Clouds,Low
276.52,0.0,0.0,40,2012-10-09 05:00:00,2678,5,Tuesday,0,0,0,0.9659258262890683,0.25881904510252074,Clouds,Medium
276.6,0.0,0.0,40,2012-10-09 06:00:00,5733,6,Tuesday,0,0,1,1.0,6.123233995736766e-17,Clouds,Very High
277.31,0.0,0.0,75,2012-10-09 07:00:00,6449,7,Tuesday,0,0,1,0.9659258262890683,-0.25881904510252063,Clouds,Very High
278.38,0.0,0.0,90,2012-10-09 08:00:00,5765,8,Tuesday,0,0,1,0.8660254037844387,-0.4999999999999998,Clouds,Very High
279.35,0.0,0.0,90,2012-10-09 09:00:00,5599,9,Tuesday,0,0,0,0.7071067811865476,-0.7071067811865475,Clouds,Very High
281.37,0.0,0.0,90,2012-10-09 10:00:00,4534,10,Tuesday,0,0,0,0.49999999999999994,-0.8660254037844387,Clouds,High
283.11,0.0,0.0,90,2012-10-09 11:00:00,4691,11,Tuesday,0,0,0,0.258819045102521,-0.9659258262890682,Clouds,High
284.08,0.0,0.0,75,2012-10-09 12:00:00,5067,12,Tuesday,0,0,0,1.2246467991473532e-16,-1.0,Clouds,Very High
285.14,0.0,0.0,75,2012-10-09 13:00:00,5030,13,Tuesday,0,0,0,-0.2588190451025208,-0.9659258262890683,Clouds,Very High
286.35,0.0,0.0,90,2012-10-09 14:00:00,5300,14,Tuesday,0,0,1,-0.4999999999999997,-0.8660254037844388,Clouds,Very High
287.23,0.0,0.0,100,2012-10-09 15:00:00,5777,15,Tuesday,0,0,1,-0.7071067811865471,-0.7071067811865479,Rain,Very High
288.53,0.0,0.0,90,2012-10-09 16:00:00,6349,16,Tuesday,0,0,1,-0.8660254037844385,-0.5000000000000004,Clouds,Very High
290.37,0.0,0.0,90,2012-10-09 17:00:00,6127,17,Tuesday,0,0,1,-0.9659258262890683,-0.25881904510252063,Clouds,Very High
290.13,0.0,0.0,90,2012-10-09 18:00:00,4460,18,Tuesday,0,0,0,-1.0,-1.8369701987210297e-16,Clouds,High
288.86,0.0,0.0,75,2012-10-09 19:00:00,3418,19,Tuesday,0,0,0,-0.9659258262890684,0.2588190451025203,Clouds,Medium
287.36,0.0,0.0,90,2012-10-09 20:00:00,2775,20,Tuesday,0,0,0,-0.8660254037844386,0.5000000000000001,Clouds,Medium
285.11,0.0,0.0,90,2012-10-09 21:00:00,2306,21,Tuesday,0,0,0,-0.7071067811865477,0.7071067811865474,Clouds,Medium
283.46,0.0,0.0,90,2012-10-09 22:00:00,1846,22,Tuesday,0,0,0,-0.5000000000000004,0.8660254037844384,Clouds,Medium
282.45,0.0,0.0,90,2012-10-09 23:00:00,947,23,Tuesday,0,0,0,-0.25881904510252157,0.9659258262890681,Clouds,Low
281.88,0.0,0.0,90,2012-10-10 00:00:00,494,0,Wednesday,0,0,0,0.0,1.0,Clouds,Low
281.78,0.0,0.0,90,2012-10-10 01:00:00,332,1,Wednesday,0,0,0,0.25881904510252074,0.9659258262890683,Clouds,Low
281.09,0.0,0.0,75,2012-10-10 02:00:00,261,2,Wednesday,0,0,0,0.49999999999999994,0.8660254037844387,Clouds,Low
281.17,0.0,0.0,90,2012-10-10 03:00:00,361,3,Wednesday,0,0,0,0.7071067811865476,0.7071067811865476,Clouds,Low
281.25,0.0,0.0,92,2012-10-10 06:00:00,5875,6,Wednesday,0,0,1,1.0,6.123233995736766e-17,Clear,Very High
281.25,0.0,0.0,99,2012-10-10 07:00:00,6793,7,Wednesday,0,0,1,0.9659258262890683,-0.25881904510252063,Rain,Very High
280.1,0.0,0.0,99,2012-10-10 08:00:00,6283,8,Wednesday,0,0,1,0.8660254037844387,-0.4999999999999998,Rain,Very High
279.61,0.0,0.0,99,2012-10-10 09:00:00,5680,9,Wednesday,0,0,0,0.7071067811865476,-0.7071067811865475,Rain,Very High
279.67,0.0,0.0,99,2012-10-10 10:00:00,4632,10,Wednesday,0,0,0,0.49999999999999994,-0.8660254037844387,Clear,High
280.19,0.0,0.0,1,2012-10-10 11:00:00,4887,11,Wednesday,0,0,0,0.258819045102521,-0.9659258262890682,Clear,High
282.09,0.0,0.0,75,2012-10-10 12:00:00,5030,12,Wednesday,0,0,0,1.2246467991473532e-16,-1.0,Clouds,Very High
282.26,0.0,0.0,75,2012-10-10 13:00:00,5067,13,Wednesday,0,0,0,-0.2588190451025208,-0.9659258262890683,Clouds,Very High
282.05,0.0,0.0,90,2012-10-10 14:00:00,5227,14,Wednesday,0,0,1,-0.4999999999999997,-0.8660254037844388,Clouds,Very High
281.59,0.0,0.0,90,2012-10-10 15:00:00,5610,15,Wednesday,0,0,1,-0.7071067811865471,-0.7071067811865479,Clouds,Very High
281.23,0.0,0.0,81,2012-10-10 16:00:00,6286,16,Wednesday,0,0,1,-0.8660254037844385,-0.5000000000000004,Clear,Very High
282.6,0.0,0.0,81,2012-10-10 18:00:00,4775,18,Wednesday,0,0,0,-1.0,-1.8369701987210297e-16,Clear,High
282.6,0.0,0.0,81,2012-10-10 19:00:00,3340,19,Wednesday,0,0,0,-0.9659258262890684,0.2588190451025203,Clear,Medium
282.6,0.0,0.0,81,2012-10-10 20:00:00,3013,20,Wednesday,0,0,0,-0.8660254037844386,0.5000000000000001,Clear,Medium
282.6,0.0,0.0,81,2012-10-10 21:00:00,2603,21,Wednesday,0,0,0,-0.7071067811865477,0.7071067811865474,Clear,Medium
282.6,0.0,0.0,81,2012-10-10 22:00:00,1910,22,Wednesday,0,0,0,-0.5000000000000004,0.8660254037844384,Clear,Medium
282.6,0.0,0.0,81,2012-10-10 23:00:00,1037,23,Wednesday,0,0,0,-0.25881904510252157,0.9659258262890681,Clear,Low
273.9,0.0,0.0,1,2012-10-11 01:00:00,347,1,Thursday,0,0,0,0.25881904510252074,0.9659258262890683,Clear,Low
274.4,0.0,0.0,75,2012-10-11 03:00:00,350,3,Thursday,0,0,0,0.7071067811865476,0.7071067811865476,Clouds,Low
274.05,0.0,0.0,75,2012-10-11 04:00:00,850,4,Thursday,0,0,0,0.8660254037844386,0.5000000000000001,Clouds,Low
273.71,0.0,0.0,40,2012-10-11 05:00:00,2791,5,Thursday,0,0,0,0.9659258262890683,0.25881904510252074,Clouds,Medium
272.66,0.0,0.0,1,2012-10-11 06:00:00,5809,6,Thursday,0,0,1,1.0,6.123233995736766e-17,Clear,Very High
